"id"	"oas"
"TCEAL7"	"oas:101118167"
"TCEAL7"	"oas:101118167"
"HMGB4"	"oas:101106375"
"CIB3"	"oas:100302745"
"LCN10"	"oas:101120313"
"ECHS1"	"oas:101112867"
"RBM26"	"oas:101104159"
"RBM26"	"oas:101104159"
"CCSER2"	"oas:101110815"
"CCSER2"	"oas:101110815"
"RPL27A"	"oas:106991620"
"SEZ6L"	"oas:101117879"
"TCEAL8"	"oas:101118673"
"RFT1"	"oas:101107904"
"PEX7"	"oas:101121271"
"DCDC2B"	"oas:101116209"
"MAK16"	"oas:101108365"
"RNF148"	"oas:101104989"
"PGLYRP3"	"oas:101121908"
"GPRIN3"	"oas:101117844"
"CCDC102A"	"oas:101120432"
"TTI2"	"oas:101108629"
"TSGA10IP"	"oas:101111918"
"ITM2A"	"oas:101107256"
"TBC1D2B"	"oas:101114393"
"IQCC"	"oas:101105986"
"SETD3"	"oas:101122556"
"GJB5"	"oas:101106891"
"FAM217A"	"oas:101121722"
"PPP1R16B"	"oas:101105769"
"PPP1R16B"	"oas:101105769"
"PGLYRP4"	"oas:101103360"
"CCDC51"	"oas:101111750"
"TIGD2"	"oas:101118103"
"PAPLN"	"oas:101103901"
"CHMP6"	"oas:101110159"
"HYI"	"oas:101107657"
"RNF122"	"oas:101116204"
"S100A9"	"oas:101122157"
"PHC3"	"oas:101118840"
"NDFIP2"	"oas:101104583"
"BEX4"	"oas:101119115"
"PRKCZ"	"oas:101122295"
"SLC35D3"	"oas:101121524"
"RPS29"	"oas:101121859"
"COPS5"	"oas:101101995"
"MROH6"	"oas:101113768"
"SLC13A1"	"oas:101105492"
"S100A12"	"oas:101103771"
"NAP1L5"	"oas:101118873"
"GJB4"	"oas:101107144"
"GRID1"	"oas:101114332"
"KIAA0556"	"oas:101120464"
"KIAA0556"	"oas:101120464"
"SH2D7"	"oas:101114647"
"SH2D7"	"oas:101114647"
"S100A8"	"oas:101104026"
"SNX31"	"oas:101103245"
"PTPRF"	"oas:101111588"
"TBX22"	"oas:101107501"
"CTTN"	"oas:101116359"
"CTTN"	"oas:101116359"
"SFMBT1"	"oas:101108168"
