ALOX15
ASGR2
BLVRB
BPIFB1
C1orf186
CAPN14
CCL17
CCR3
CDC42SE1
CFP
CLEC10A
COL6A1
COL6A2
CST3
DSE
EGLN3
EXTL3
FAM131B
G6PD
GAPDH
GPI
GPX2
ITLN2
NQO1
OSGIN1
OXA1L
OXT
PGD
PPIF
PRDX1
PROCR
PTAFR
PTGS1
SERPINF2
SLC3A2
SLC7A11
SULF1
TALDO1
TGFBI
TKT
TNC
TNFAIP1
TXNDC5
TXNRD1
ZYX
