ALOX5
ALOX5AP
ALPL
APOD
BLMH
BNIPL
BZW2
C11orf53
C11orf54
C7
CA13
CDH26
CELA1
CISH
CLCA1
CNTN4
COL12A1
COL6A5
COLCA2
DIO2
DUOX2
DUOXA1
DUOXA2
FAM171A1
FAM174B
FNIP2
GCNT1
GIF
GNG13
HDC
HK1
HTR1B
IL17RB
IL5RA
KANK4
KCNS3
KLHL32
LAMB3
MAP2
ME2
MRPS15
ND3
NOX5
NR4A2
OSMR
PAQR8
PDE1C
PDZK1IP1
PFKP
PLCB1
POU2F3
PPARGC1B
QSOX1
SH2D7
SLC23A1
STXBP5
TBC1D30
ZBED2
