ALDOC
C1orf123
CAP1
CAPNS1
CBLC
CLEC3B
EEF1G
NUDT22
PSMB7
RPS3
RPS8
RSU1
SFTPB
SSR4
STX8
TOPBP1
TSKU
TSPO
