ADGRE3
ADGRG3
ADORA3
CPA3
CSF2RB
FCER1A
GATA1
IL1RL1
KIT
MCP-3
MCTP1
MS4A2
ORAI2
P2RX1
PIK3R6
SLC18A2
SLC38A11
SPTA1
SRGN
STAP1
TH
TPSB2
