ADGRE3
ALOX15
ALPL
BNIPL
BPIFB1
CDH26
CISH
CLCA1
CLCN2
COLCA2
COLEC10
DUOX2
FAM174B
G6PD
HK1
HKDC1
IL13
IL5RA
ITLN2
KLHL32
NMUR1
PDZK1IP1
PFKP
SLC23A1
SLC4A4
SLC7A11
STXBP5
TMPRSS2
UNC5CL
