ADGRE3
ADGRG3
ADORA3
BTK
COLEC11
CPA3
CRLF2
CSF2RB
EXTL3
FCER1A
FFAR2
GATA1
GCSAML
GPR141
HDC
HPGDS
HRH4
IL1RL1
KIT
MCP-3
MS4A2
ORAI2
P2RX1
PIK3R6
RAB38
RASGRP4
SLC18A2
SLC38A11
SPTA1
SRGN
STAP1
TH
TPSB2
VIPR2
ZCWPW1
