ADAM15
ADAMTS1
ADCY5
ADGRD1
ADIRF
ANKRD24
ANO1
APCDD1
AXIN2
BAIAP2
BMP4
CA4
CASKIN2
CCDC154
CLDN11
COL2A1
COLEC12
CPEB1
CRISPLD1
CSPG4
DGAT2
DSC2
ETV4
ETV5
EXOC2
FAM184A
FGFR3
FREM2
GIT1
GKN1
GKN2
GLI1
GRAMD1B
GRB7
HES1
HIF3A
HOXA3
IGF2BP2
IGFBP6
ITGBL1
JAM3
KCNC4
KCNJ15
KIAA1217
LGR5
LMCD1
LURAP1
MCOLN2
MCTP2
MOB3B
MPI
MSX2
NCAM1
NOTUM
NR0B1
NYNRIN
OCA2
PLCD1
PNOC
PTCH1
RADIL
S100A3
SGCE
SLC20A2
SLC5A5
SMPX
SOSTDC1
SPICE1
SPRY1
SRD5A2
STK31
STK32C
SYT7
TFF1
TLE1
TMEM100
TSHZ3
TUFT1
VNN1
VSIG1
ZKSCAN4
