ACAP3
ADCK5
ADCY6
AFDN
AKAP8L
ALS2CL
ANKRD13D
ATP8B3
BAHCC1
CASZ1
CATSPERG
CCDC17
CDC42BPG
CNTROB
COL16A1
COL27A1
COL7A1
CRAMP1
DGKQ
DTX3
DVL1
EFS
ELMO3
ENO2
EPN2
ESRP2
ESYT3
FAIM2
FASTK
FGF11
FRS3
INPPL1
KANK3
LOXL3
MAST1
MIER2
MLX
MROH6
NPAS1
PATL2
PHYKPL
PKD1
PKDCC
PLXNA3
PORCN
PPFIA3
PRPF40B
PRSS53
RAPGEF3
RAPGEFL1
RFNG
RNF123
SEMA3B
SERINC4
SGSM1
SLC45A3
STK36
SUN1
SZT2
TAF1C
TLE2
TMEM161A
TMEM249
TRIM45
ULK3
ZDHHC1
ZFAND2B
ZNF205
