ABCF3
ABHD12
ACO1
ADGRG6
AFF2
AFG3L2
ALOX15
ALOX5
ALOX5AP
ALPL
AP2B1
APOD
ARID5B
ARSB
ASNA1
ATP5D
BAG5
BDH1
BNIPL
BPIFB1
BZW2
C11orf53
C11orf54
C7
CA12
CA13
CAPNS1
CAPRIN1
CCDC129
CCNY
CCR10
CCT3
CDH26
CDKL2
CELA1
CHAT
CHCHD10
CHDH
CISH
CLCA1
CLCA2
CLEC16A
CNTN4
COL6A1
COL6A5
COLCA2
COLEC10
CST3
DHX32
DNAJA3
DNAJC11
DNASE1L1
DUOX1
DUOX2
DUOXA1
DUOXA2
EAF2
ECSIT
EIF3L
EMC3
EML4
EYA2
FAM131B
FAM171A1
FAM174B
FNIP2
G6PD
GAPDH
GCLC
GCNT1
GCNT3
GFI1B
GFRA3
GIF
GLB1
GNG13
GNMT
GOT1
GPI
GPX2
HK1
HSP90AB1
HTR1B
HTR3E
IDH3B
IGHM
IL17RB
IL27RA
IL5RA
IMMT
ITLN2
JCHAIN
KANK4
KCNS3
KLHL32
LRMP
MAF1
MAP2
MCTP1
MDH2
ME2
MFSD4A
MGAT1
MGAT5
MRAS
MRPL2
MRPS15
MSMB
MZB1
NARF
NDUFA10
NDUFA8
NDUFS2
NDUFS3
NDUFV1
NMUR1
NOX5
NQO1
NR4A2
NXN
OGDH
OXA1L
PAQR4
PDE1C
PDZK1IP1
PFKP
PGD
PIGR
PKM
PLCB1
POU2F3
PPARGC1B
PPIF
PPP1R1B
PRDX1
PRDX6
PSMC4
PSPH
QSOX1
RCAN1
RGS13
SERPINF2
SH2D7
SLC23A1
SLC3A2
SLC5A1
SLC7A11
SLC9A4
SMARCE1
SNX25
ST7
TALDO1
TBC1D30
TFF3
TKT
TNFRSF21
TOMM40
TOX2
TPI1
TXN
TXN2
TXNRD1
UQCRH
WBP11
ZBED2
