ABHD12
ACO1
ACSL4
ADGRE3
ADGRG3
ADORA3
ALOX15
ALOX5
ALOX5AP
ALPL
APOD
ARID5B
ASGR2
ATP1A1
BLMH
BNIPL
BPIFB1
BTK
C11orf53
C11orf54
C1orf186
C7
C9
CAPG
CAPN14
CARHSP1
CCL17
CCR10
CCR3
CD27
CD300LB
CDH26
CEBPE
CHDH
CISH
CLCA1
CLCA2
CLEC10A
CNP
COL6A5
COLCA2
COLEC10
COLEC11
CPA3
CRLF2
CSF2RB
CST3
CTSC
CYTIP
DIO2
DUOX1
DUOX2
DUOXA1
DUOXA2
EAF2
ELFN2
EML4
EPHA4
EXTL3
EYA2
FAM174B
FCER1A
FFAR2
FGR
FNIP2
G6PD
GAPT
GATA1
GCNT1
GCSAML
GFI1B
GLB1
GNG13
GPI
GPX2
HCK
HDC
HK1
HK3
HKDC1
HPGDS
HRH4
HSD17B14
HTR1B
HTR3E
IGHM
IL13
IL17RB
IL1RL1
IL2RA
IL5RA
IRF4
ITLN2
JCHAIN
KANK4
KCNS3
KIAA0930
KIT
KLHL32
LRMP
LRP8
MAP2
MCP-3
MCTP1
ME2
MGAT3
MGAT5
MKS1
MPC2
MRPS15
MS4A2
MSMB
MZB1
NMUR1
NOX5
NPLOC4
NQO1
NR4A2
NTRK1
OCSTAMP
ORAI2
OXER1
OXT
P2RX1
PAQR8
PDE1C
PDZK1IP1
PFKP
PGD
PIGR
PIK3CG
PIK3R5
PIK3R6
PKM
POU2AF1
POU2F3
PPARGC1B
PPIF
PPP1R1B
PPP2R2C
PRDX1
PROCR
PTAFR
QSOX1
RAB38
RABGAP1L
RASGRP4
RCAN1
RGS13
RGS18
SAMSN1
SARS
SERPINF2
SFRP1
SH2D7
SLC18A2
SLC23A1
SLC28A1
SLC38A11
SLC7A11
SPON1
SPTA1
SRGN
ST6GALNAC1
STAP1
STXBP5
TALDO1
TBC1D30
TFF3
TH
TKT
TMPRSS2
TNFRSF11B
TNFRSF21
TPSB2
TUBB3
TXN
TXNRD1
TYROBP
UCP2
VPREB3
ZBED2
ZCWPW1
