ACSM1
ACTN2
ADIRF
BDKRB2
CACNA1E
CIDEC
CSPG4
CYP11A1
DUSP27
HOXC6
IL17B
LPL
NOG
NRK
PLIN1
SLC6A17
SOSTDC1
TACR2
