ADAMTS1
ADCY5
ADGRD1
AKAP8L
ALS2CL
ANKRD24
APCDD1
ARHGAP21
BAIAP2
C9orf131
CACHD1
CLDN11
COL16A1
COL27A1
COL7A1
ENO2
ETV5
EXOC2
GLI1
HMG20B
HSPA12B
IFNLR1
IGFBP6
KCNC4
LMCD1
MIER2
MMP16
MOB3B
NES
NOTUM
NR0B1
PKDCC
PLXNA3
PTCH1
RADIL
SLC12A6
SPRY1
TLE1
TLE2
ZNF692
