"cluster"
"ACTN2" 1
"ADGRE3" 2
"ADGRG3" 3
"ALOX15" 2
"ALOX5" 4
"ALOX5AP" 4
"ALPL" 2
"ANKRD24" 5
"ASGR2" 6
"BAC5" 7
"BMX" 4
"BNIPL" 2
"BPIFB1" 2
"C11orf53" 4
"CACNA1E" 1
"CAPN14" 6
"CAPN6" 1
"CDH26" 2
"CIDEC" 1
"CISH" 2
"CLCA1" 2
"CLCN2" 2
"COLCA2" 2
"COLEC10" 2
"CPA3" 3
"CRLF2" 3
"CSF2RB" 3
"DIO2" 6
"DUOX2" 2
"DUSP27" 1
"ENTHD1" 7
"FAM174B" 2
"FCER1A" 3
"G6PD" 2
"GATA1" 3
"GCSAML" 3
"GNG13" 4
"HK1" 2
"HKDC1" 2
"HOXC6" 1
"IL13" 2
"IL17RB" 4
"IL1RL1" 3
"IL5RA" 2
"ITLN2" 2
"KCNC4" 5
"KIT" 3
"KLHL32" 2
"KLHL41" 1
"LPL" 1
"MCP-3" 3
"MS4A2" 3
"NMUR1" 2
"NOG" 1
"NRK" 1
"ORAI2" 3
"P2RX1" 3
"PDZK1IP1" 2
"PFKP" 2
"PIK3R6" 3
"POU2F3" 4
"PTCHD1" 1
"RPS8" 5
"SH2D7" 4
"SLC18A2" 3
"SLC23A1" 2
"SLC38A11" 3
"SLC4A4" 2
"SLC6A17" 1
"SLC7A11" 2
"SMYD1" 1
"SPTA1" 3
"SRGN" 3
"STXBP5" 2
"TACR2" 1
"TECTB" 1
"TFF3" 6
"TH" 3
"THRSP" 1
"TMCC3" 5
"TMEFF2" 1
"TMPRSS2" 2
"TPSB2" 3
"UNC5CL" 2
