"cluster"
"IGF2BP2" 6
"IGFBP6" 6
"IGHM" 1
"IL13" 2
"IL13RA2" 2
"IL17RB" 1
"IL1RL1" 7
"IL27RA" 1
"IL2RA" 2
"IL2RG" 2
"IL4" 2
"IL4I1" 2
"IL5RA" 1
"IMMT" 1
"IMPG2" 5
"INPPL1" 3
"IRAK2" 5
"ITGAX" 2
"ITGBL1" 6
"ITLN2" 1
"ITPR3" 6
"JAM3" 6
"JCHAIN" 1
"KANK3" 3
"KANK4" 1
"KCNC4" 6
"KCNJ15" 6
"KCNS3" 1
"KCTD12" 2
"KIAA1217" 6
"KIAA1841" 5
"KIF13A" 5
"KIT" 7
"KITLG" 4
"KLHL32" 1
"KMT2C" 5
"KNG1" 4
"LAMA4" 5
"LGMN" 2
"LGR5" 6
"LIPM" 5
"LMCD1" 6
"LOXL3" 3
"LRIG3" 5
"LRMP" 1
"LRP8" 2
"LRRC8B" 4
"LURAP1" 6
"LY86" 2
"MAF1" 1
"MAP2" 1
"MAP3K21" 6
"MASP2" 5
"MAST1" 3
"MCOLN2" 6
"MCP-3" 7
"MCTP1" 1
"MCTP2" 6
"MDH1B" 5
"MDH2" 1
"ME2" 1
"METTL27" 6
"MFSD4A" 1
"MGAT1" 1
"MGAT5" 1
"MIER2" 3
"MILR1" 2
"MIXL1" 7
"MLX" 3
"MOB3B" 6
"MPI" 6
"MRAS" 1
"MRC1" 2
"MRNIP" 5
"MROH6" 3
"MRPL12" 1
"MRPL2" 1
"MRPS15" 1
"MRPS31" 4
"MS4A2" 7
"MSMB" 1
"MSN" 2
"MSS51" 5
"MST1R" 5
"MSX2" 6
"MYO5C" 5
"MZB1" 1
"NAIF1" 5
"NARF" 1
"NCAM1" 6
"NCF1" 2
"NCKAP1L" 2
"ND1" 4
"ND2" 4
"ND3" 4
"ND4L" 4
"ND6" 4
"NDUFA10" 1
"NDUFA8" 1
"NDUFS1" 4
"NDUFS2" 1
"NDUFS3" 1
"NDUFV1" 1
"NECAB3" 5
"NFATC3" 5
"NFIL3" 2
"NIPSNAP2" 1
"NLE1" 5
"NMUR1" 1
"NOTUM" 6
"NOX5" 1
"NPAS1" 3
"NPAS2" 5
"NPLOC4" 4
"NQO1" 1
"NR0B1" 6
"NR3C1" 4
"NR4A2" 1
"NXN" 1
"NYNRIN" 6
"OCA2" 6
"OGDH" 1
"ORAI2" 7
"OSMR" 2
"OSTF1" 4
"OXA1L" 1
"OXER1" 2
"OXT" 2
"P2RX1" 7
"P2RY13" 2
"PAK2" 4
"PAN2" 5
"PAQR4" 1
"PARM1" 2
"PARP6" 5
"PATL2" 3
"PCID2" 5
"PDE1C" 1
"PDE4B" 2
"PDZK1IP1" 1
"PFKP" 1
"PGAM1" 1
"PGD" 1
"PHYKPL" 3
"PIGR" 1
"PIK3CG" 2
"PIK3R5" 2
"PIK3R6" 7
"PKD1" 3
"PKDCC" 3
"PKM" 1
"PLA2G5" 2
"PLA2G7" 2
"PLCB1" 1
"PLCD1" 6
"PLEK" 2
"PLXNA3" 3
"PNOC" 6
"PORCN" 3
"POU2AF1" 2
"POU2F3" 1
"PPARGC1B" 1
"PPFIA3" 3
"PPIF" 1
"PPP1R1B" 1
"PRDX1" 1
"PRDX6" 1
"PROCR" 2
"PRPF3" 5
"PRPF40B" 3
"PRSS53" 3
"PSMC4" 1
"PSMD1" 4
"PSMD13" 4
"PSME3" 4
"PSPH" 1
"PTAFR" 2
"PTCH1" 6
"PTCH2" 6
"PTDSS1" 4
"PTPN1" 2
"PTPN6" 2
"PYGL" 2
"QSOX1" 1
"RAB38" 7
"RABGAP1L" 4
"RADIL" 6
"RAP1GDS1" 4
"RAPGEF3" 3
"RAPGEFL1" 3
"RASGRP4" 7
"RBM5" 5
"RCAN1" 1
"RFNG" 3
"RGS13" 1
"RGS18" 2
"RNF123" 3
"RNF17" 5
"RSRC2" 5
"RUSC1" 6
"RYR2" 5
"S100A3" 6
"SAMSN1" 2
"SARS" 2
"SCIN" 2
"SCML2" 5
"SDHC" 4
"SELL" 2
"SEMA3B" 3
"SEMA4A" 2
"SEMA7A" 2
"SERINC4" 3
"SERPINF2" 1
"SETD5" 5
"SETDB1" 5
"SGCE" 6
"SGSM1" 3
"SH2D7" 1
"SH3GLB1" 4
"SH3KBP1" 2
"SLAMF7" 2
"SLC12A6" 5
"SLC12A7" 3
"SLC18A2" 7
"SLC1A2" 4
"SLC1A4" 4
"SLC20A2" 6
"SLC22A17" 3
"SLC23A1" 1
"SLC25A3" 4
"SLC38A11" 7
"SLC3A2" 1
"SLC45A3" 3
"SLC5A1" 1
"SLC5A5" 6
"SLC7A11" 1
"SLC9A4" 1
"SMARCE1" 1
"SMPX" 6
"SNRNP48" 5
"SNX25" 1
"SOSTDC1" 6
"SPI1" 2
"SPICE1" 6
"SPRY1" 6
"SPTA1" 7
"SRD5A2" 6
"SRGN" 7
"ST7" 1
"STAP1" 7
"STARD9" 5
"STK19" 5
"STK31" 6
"STK32C" 6
"STK36" 3
"STK4" 2
"STX16" 5
"STXBP5" 2
"SUGP2" 5
"SULF1" 2
"SUN1" 3
"SYK" 2
"SYT7" 6
"SYTL2" 5
"SZT2" 3
"TAF1C" 3
"TAGAP" 2
"TALDO1" 1
"TBC1D30" 1
"TESPA1" 2
"TFF1" 6
"TFF3" 1
"TFRC" 4
"TH" 7
"TJP2" 5
"TKT" 1
"TLE1" 6
"TLE2" 3
"TLE6" 5
"TLR7" 2
"TMEM100" 6
"TMEM161A" 3
"TMEM249" 3
"TMPRSS3" 5
"TNFAIP8L2" 2
"TNFRSF11B" 2
"TNFRSF21" 1
"TOMM40" 1
"TOX2" 1
"TPCN1" 5
"TPI1" 1
"TPSB2" 7
"TRA2A" 5
"TRIM45" 3
"TSHZ3" 6
"TTLL10" 5
"TUFT1" 6
"TXN" 1
"TXN2" 1
"TXNRD1" 1
"TYROBP" 2
"UACA" 5
"ULK3" 3
"UQCRC1" 1
"UQCRH" 1
"VDAC2" 4
"VIPR2" 7
"VNN1" 6
"VPREB3" 2
"VSIG1" 6
"VSIG8" 5
"WBP11" 1
"YTHDC1" 5
"ZBED2" 1
"ZCWPW1" 7
"ZDHHC1" 3
"ZFAND2B" 3
"ZKSCAN4" 6
"ZKSCAN8" 5
"ZNF112" 5
"ZNF12" 5
"ZNF154" 5
"ZNF205" 3
"ZNF311" 5
"ZNF619" 5
"ZNF692" 5
"ZNF839" 5
