"cluster"
"ABL2" 1
"ADAMTS1" 2
"ADGRE3" 3
"ADGRG3" 3
"ADIRF" 2
"ADORA3" 3
"AKAP8L" 1
"ALDOC" 4
"ALOX15" 5
"ALOX5" 6
"ALOX5AP" 6
"ALPL" 6
"ALS2CL" 2
"ANKRD24" 2
"APCDD1" 2
"APOA1" 7
"APOD" 6
"ARHGAP21" 2
"ARHGEF28" 1
"ASGR2" 5
"ATP5D" 7
"AXIN2" 2
"BAIAP2" 2
"BLMH" 6
"BLVRB" 5
"BMX" 6
"BNIPL" 6
"BPIFB1" 5
"BZW2" 6
"C11orf53" 6
"C11orf54" 6
"C1orf123" 4
"C1orf186" 5
"C7" 6
"CA13" 6
"CA4" 2
"CAP1" 4
"CAPN14" 5
"CAPNS1" 4
"CBLC" 4
"CCDC138" 1
"CCL17" 5
"CCNL1" 1
"CCR3" 5
"CDC42SE1" 5
"CDH26" 6
"CELA1" 6
"CFP" 5
"CHCHD10" 7
"CISH" 6
"CLCA1" 6
"CLCA4" 7
"CLDN11" 2
"CLEC10A" 5
"CLEC3B" 4
"CNTN4" 6
"COL12A1" 6
"COL6A1" 5
"COL6A2" 5
"COL6A5" 6
"COLCA2" 6
"COX4I1" 7
"COX5B" 7
"CPA3" 3
"CSF2RB" 3
"CST3" 5
"CYB5R1" 2
"CYP1A1" 7
"CYP1A2" 7
"CYP26A1" 2
"CYP26B1" 6
"DDX17" 1
"DHTKD1" 1
"DIO2" 6
"DSE" 5
"DUOX2" 6
"DUOXA1" 6
"DUOXA2" 6
"EEF1G" 4
"EGLN3" 5
"ESRP2" 2
"ESYT2" 2
"EXOC1L" 2
"EXTL3" 5
"FAM131B" 5
"FAM171A1" 6
"FAM174B" 6
"FCER1A" 3
"FGFR3" 2
"FNBP4" 1
"FNIP2" 6
"G6PD" 5
"GAPDH" 5
"GATA1" 3
"GCNT1" 6
"GFRA3" 7
"GIF" 6
"GLI1" 1
"GNG13" 6
"GOT1" 7
"GPI" 5
"GPX2" 5
"GUSB" 5
"HDC" 6
"HK1" 6
"HTR1B" 6
"IFNLR1" 2
"IL17RB" 6
"IL1RL1" 3
"IL5RA" 6
"ITLN2" 5
"ITPR3" 2
"KANK4" 6
"KCNS3" 6
"KIAA0907" 1
"KIT" 3
"KLHL32" 6
"KMT2E" 1
"LAMB3" 6
"LRIG3" 1
"MAP2" 6
"MCOLN2" 2
"MCP-3" 3
"MCTP1" 3
"ME2" 6
"METTL27" 2
"MOB3B" 2
"MRPS15" 6
"MS4A2" 3
"MYL12A" 4
"ND3" 6
"NDUFA10" 7
"NDUFS2" 7
"NDUFS3" 7
"NDUFV1" 7
"NOTUM" 2
"NOX5" 6
"NQO1" 5
"NR4A2" 6
"NUDT22" 4
"OCA2" 1
"OGFOD3" 7
"ORAI2" 3
"OSGIN1" 5
"OSMR" 6
"OXA1L" 5
"OXT" 5
"P2RX1" 3
"PAQR8" 6
"PARP6" 1
"PDE1C" 6
"PDZK1IP1" 6
"PFKP" 6
"PGD" 5
"PIK3R6" 3
"PLCB1" 6
"POU2F3" 6
"PPARGC1B" 6
"PPIF" 5
"PRDM15" 1
"PRDX1" 5
"PROCR" 5
"PRPF3" 1
"PRPF40B" 1
"PSMB7" 4
"PTAFR" 5
"PTGS1" 5
"QSOX1" 6
"RAPGEFL1" 2
"RBBP6" 1
"RBM5" 1
"REPS2" 1
"RPS3" 4
"RPS8" 4
"RRAS2" 2
"RSU1" 4
"RUBCN" 1
"SAMM50" 7
"SENP2" 1
"SERPINF2" 5
"SETD5" 1
"SETDB1" 1
"SF3B1" 1
"SFTPB" 4
"SH2D7" 6
"SLC16A10" 1
"SLC18A2" 3
"SLC23A1" 6
"SLC38A11" 3
"SLC3A2" 5
"SLC7A11" 5
"SNRNP48" 1
"SOX5" 1
"SPTA1" 3
"SRGN" 3
"SSR4" 4
"ST18" 1
"STAP1" 3
"STX8" 4
"STXBP5" 6
"SUGP2" 1
"SULF1" 5
"SUN1" 2
"SUPT20H" 1
"SYT7" 2
"TALDO1" 5
"TBC1D30" 6
"TCERG1" 1
"TGFBI" 5
"TH" 3
"TKT" 5
"TLE1" 2
"TLE2" 2
"TMCC3" 2
"TMEM100" 2
"TNC" 5
"TNFAIP1" 5
"TOPBP1" 4
"TPSB2" 3
"TRPV6" 2
"TSKU" 4
"TSPO" 4
"TXNDC5" 5
"TXNRD1" 5
"ULK3" 2
"UQCRC1" 7
"ZBED2" 6
"ZNF236" 1
"ZNF331" 1
"ZYX" 5
